제목,원제,개봉일,스트리밍,구매,평점,장르,재생 시간,감독,출연진,시놉시스,이미지,대여
쉰들러 리스트,Schindler's List,(1993),"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]","[('wavve', ['₩4,000', 'HD']), ('Naver Store', ['₩5,000', 'HD'])]","['95%', '8.9 (1m)']","['드라마 , 역사']",['3시간 15분'],['Steven Spielberg'],"['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes', 'Caroline Goodall', 'Jonathan Sagall', 'Embeth Davidtz', 'Malgorzata Gebel', 'Mark Ivanir', 'Béatrice Macola', 'Andrzej Seweryn', 'Friedrich von Thun', 'Jerzy Nowak', 'Norbert Weisser', 'Anna Mucha', 'Adi Nitzan', 'Piotr Polk', 'Rami Heuberger', 'Ezra Dagan', 'Elina Löwensohn', 'Hans-Jörg Assmann', 'Hans-Michael Rehberg', 'August Schmölzer', 'Daniel Del-Ponte', 'Ludger Pistor', 'Oliwia Dabrowska', 'Shmuel Levy', 'Krzysztof Luft', 'Harry Nehring', 'Michael Schneider', 'Miri Fabian', 'Albert Misak', 'Aldona Grochal', 'Jacek Wójcicki', 'Beata Paluch', 'Uri Avrahami', 'Magdalena Komornicka', 'Michael Gordon', 'Beata Deskur', 'Leopold Kozlowski', 'Magdalena Dandourian', 'Shabtai Konorti', 'Henryk Bista', 'Tadeusz Bradecki', 'Wojciech Klata', 'Ewa Kolasińska', 'Bettina Kupfer', 'Vili Matula', 'Stanislaw Koczanowicz', 'Geno Lechner', 'Beata Rybotycka', 'Branko Lustig', 'Artus-Maria Matthiessen', 'Eugeniusz Priwieziencew', 'Michael Z. Hoffmann', 'Erwin Leder', 'Jochen Nickel', 'Andrzej Welminski', 'Marian Glinka', 'Grzegorz Damięcki', 'Stanisław Brejdygant', 'Olaf Lubaszenko', 'Haymon Maria Buttinger', 'Peter Appiano', 'Jacek Pulanecki', 'Tomasz Dedek', 'Slawomir Holland', 'Martin Semmelrogge', 'Tadeusz Huk', 'Alexander Held', 'Piotr Cyrwus', 'Joachim Paul Assböck', 'Osman Ragheb', 'Maciej Orłoś', 'Marek Wrona', 'Zbigniew Kozłowski', 'Marcin Grzymowicz', 'Dieter Witting', 'Agnieszka Krukówna', 'Anemona Knut', 'Agnieszka Wagner', 'Jan Jurewicz', 'Wiesław Komasa', 'Maciej Kozłowski', 'Martin Bergmann', 'Wilhelm Manske', 'Peter Flechtner', 'Sigurd Bemme', 'Etl Szyc', 'Lucyna Zabawa', 'Ruth Farhi', 'Jerzy Sagan', 'Dariusz Szymaniak', 'Dirk Bender', 'Maciej Winkler', 'Radosław Krzyżowski', 'Jacek Lenczowski', 'Hanna Kossowska', 'Maja Ostaszewska', 'Sebastian Skalski', 'Ryszard Radwański', 'Piotr Kadlcik', 'Lech Niebielski', 'Thomas Morris', 'Sebastian Konrad', 'Lidia Wyrobiec-Bank', 'Ravit Ferera', 'Agnieszka Korzeniowska', 'Dominika Bednarczyk', 'Alicja Kubaszewska', 'Danny Marcu', 'Edward Linde-Lubaszenko', 'Alexander Strobele', 'Georges Kern', 'Michael Schiller', 'Götz Otto', 'Wolfgang Seidenberg', 'Hubert Kramar', 'Razia Israeli', 'Esti Yerushalmi', 'Marta Bizoń', 'Michelle Csitos', 'Boy', 'little Jewish boy', 'Woman', 'young worker', 'Himself—Schindler mourner', 'Himself—Schindler mourner', 'Herself—Schindler mourner', 'German girl', 'Jewish boy', 'Worker in factory', 'Dolek Horowitz', 'Brinnlitz Man']","2차 세계대전 당시 독일군이 점령한 폴란드. 시류에 맞춰 자신의 성공을 추구하는 기회주의자 쉰들러는 유태인이 경영하는 그릇 공장을 인수한다. 그는 공장을 인수하기 위해 나찌 당원이 되고 독일군에게 뇌물을 바치는 등 갖은 방법을 동원한다. 그러나 냉혹한 기회주의자였던 쉰들러는 유태인 회계사인 스턴과 친분을 맺으면서 냉혹한 유태인 학살에 대한 양심의 소리를 듣기 시작한다. 마침내 그는 강제 수용소로 끌려가 죽음을 맞게될 유태인들을 구해내기로 결심하고, 독일군 장교에게 빼내는 사람 숫자대로 뇌물을 주는 방법으로 유태인들을 구해내려는 계획을 세우는데...",https://images.justwatch.com/poster/99734190/s276/swindeulreo-riseuteu.webp,"[('wavve', ['₩1,200', 'HD']), ('Naver Store', ['₩1,200', 'HD'])]"
사운드 오브 뮤직,The Sound of Music,(1965),"[('Disney Plus', ['정액제', 'HD'])]","[('wavve', ['₩5,500', 'HD']), ('Naver Store', ['₩5,500', 'HD'])]","['85%', '8.0 (217k)']","['로맨스 , 드라마 , 가족']",['2시간 55분'],['Robert Wise'],"['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker', 'Richard Haydn', 'Peggy Wood', 'Charmian Carr', 'Heather Menzies', 'Nicholas Hammond', 'Duane Chase', 'Angela Cartwright', 'Debbie Turner', 'Kym Karath', 'Anna Lee', 'Portia Nelson', 'Ben Wright', 'Daniel Truhitte', 'Norma Varden', 'Gilchrist Stuart', 'Marni Nixon', 'Evadne Baker', 'Doris Lloyd', 'Ada Beth Lee', 'Doreen Tryden', 'Bert Stevens', 'Gertrude Astor', 'Frank Baker', 'Bill Lee', 'Leoda Richards']","알프스의 아름다운 자연에 둘러싸인 오스트리아의 잘츠부르크 수도원. 음악을 사랑하는 말괄량이 견습 수녀 마리아는 원장 수녀의 권유로 해군 명문 집안 폰 트랩가의 가정교사가 된다. 마리아는 좀처럼 마음의 문을 열지 않는 폰 트랩가의 일곱 아이들에게 노래를 가르치며 점차 교감하게 되고, 엄격한 폰 트랩 대령 역시 마음의 문을 열게 된다. 그러던 어느 날, 마리아는 자신이 폰 트랩 대령을 사랑하고 있다는 사실을 깨닫게 되고, 자신만의 비밀을 간직한 채 아이들의 곁을 떠나 다시 수녀원에 들어가기로 결심하는데...",https://images.justwatch.com/poster/239524540/s276/the-sound-of-music.webp,
대부,The Godfather,(1972),,"[('wavve', ['₩2,200', 'HD'])]","['98%', '9.2 (1m)']","['드라마 , 범죄']",['2시간 55분'],['Francis Ford Coppola'],"['Marlon Brando', 'Al Pacino', 'James Caan', 'Robert Duvall', 'Richard S. Castellano', 'Diane Keaton', 'Talia Shire', 'Gianni Russo', 'Sterling Hayden', 'Al Lettieri', 'Abe Vigoda', 'John Cazale', 'Richard Conte', 'John Marley', 'Rudy Bond', 'Al Martino', 'Morgana King', 'Lenny Montana', 'John Martino', 'Alex Rocco', 'Salvatore Corsitto', 'Tony Giorgio', 'Victor Rendina', 'Simonetta Stefanelli', 'Saro Urzì', 'Sofia Coppola', 'Louis Guss', 'Gabriele Torrei', 'Tony King', 'Richard Bright', 'Vito Scotti', 'Tere Livrano', 'Julie Gregg', 'Angelo Infanti', 'Corrado Gaipa', 'Franco Citti', 'Max Brandt', 'Carmine Coppola', 'Roman Coppola', 'Don Costello', 'Robert Dahdah', 'Gray Frederickson', 'Ron Gilbert', 'Sonny Grosso', 'Joe Lo Grippo', 'Randy Jurgensen', 'Tony Lip', 'Lou Martini Jr.', 'Raymond Martino', 'Joseph Medaglia', 'Rick Petrucelli', 'Sal Richards', 'Tom Rosqui', 'Frank Sivero', 'Filomena Spagnuolo', 'Nick Vallelonga', 'Joe Spinell', 'Conrad Yama']","시실리에서 이민온 뒤, 정치권까지 영향력을 미치는 거물로 자리잡은 돈 꼴레오네는 갖가지 고민을 호소하는 사람들의 문제를 해결해주며 대부라 불리운다. 한편 솔로소라는 인물은 꼴레오네가와 라이벌인 탓타리아 패밀리와 손잡고 새로운 마약 사업을 제안한다. 돈 꼴레오네가 마약 사업에 참여하지 않기로 하자, 돈 꼴레오네를 저격해 그는 중상을 입고 사경을 헤매게 된다. 그 뒤, 돈 꼴레오네의 아들 소니는 조직력을 총 동원해 다른 패밀리들과 피를 부르는 전쟁을 시작하는데... 가족의 사업과 상관없이 대학에 진학한 뒤 인텔리로 지내왔던 막내 아들 마이클은 아버지가 총격을 당한 뒤, 아버지를 구하기 위해 위험천만한 협상 자리에 나선다.",https://images.justwatch.com/poster/19832510/s276/the-godfather.webp,"[('wavve', ['₩1,500', 'HD'])]"
나 홀로 집에 2: 뉴욕을 헤매다,Home Alone 2: Lost in New York,(1992),"[('Disney Plus', ['정액제', '4K'])]","[('wavve', ['₩5,500', 'HD']), ('Naver Store', ['₩5,500', 'HD'])]","['77%', '6.8 (332k)']","['코미디 , 다큐멘터리 , 범죄 , 가족']",['2시간 0분'],['Chris Columbus'],"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern', ""Catherine O'Hara"", 'John Heard', 'Devin Ratray', 'Hillary Wolf', 'Maureen Elisabeth Shay', 'Michael C. Maronna', 'Gerry Bamman', 'Terrie Snell', 'Jedidiah Cohen', 'Senta Moses', 'Daiana Campeanu', 'Kieran Culkin', 'Anna Slotky', 'Tim Curry', 'Brenda Fricker', 'Eddie Bracken', 'Dana Ivey', 'Rob Schneider', 'Leigh Zimmerman', 'Ralph Foody', 'Clare Hoak', 'Monica Devereux', 'Bob Eubanks', 'Rip Taylor', 'Jaye P. Morgan', 'Jimmie Walker', 'Patricia Devereux', 'Aimee Devereux', 'A.M. Columbus', 'Joe Liss', 'Teri McEvoy', 'Ally Sheedy', 'Harry Hutchinson', 'Clarke Devereux', 'Sandra Macat', 'Venessia Valentino', 'Andre Lachaumette', 'Rick Shafer', 'Rod Sell', 'Ron Canada', 'Cedric Young', ""William D'Ambra"", 'Mark Morettini', 'Fred Krause', 'James Cole', 'Donald Trump', 'Warren Rice', 'Thomas Civitano', 'Daniel Dassin', 'Donna Black', ""Abdoulaye N'Gom"", 'Peter Pantaleo', 'Michael Hansen', 'Michael Goldfinger', 'Mario Todisco', 'Anthony Cannata', 'Eleanor Columbus', 'Karen Giordano', 'Fran McGee', 'Leonard Tepper', 'Kevin Thomas', 'Al Cerullo', 'Dan Buckman', 'Laurence S. Chess', 'Chris Columbus', 'Jonathon Gentry', 'Eric Ian', 'Karen Jensen-Clark', 'Jeffrey Landman', 'Eden Riegel', 'Mike Sode', 'Paul Zimmerman']","시카고에 살고 있는 케빈(맥컬리 컬킨)의 가족은 크리스마스에 플로리다에 가기로 되어있다. 그러나 공항의 소란 속에, 홀로 뉴욕행 비행기에 오르게 되어 거대한 도시에 혼자 남게 된 케빈은 기지를 발휘하여 아버지 카드로 플로리자 호텔에 묶게되고, 의심스러워 하는 종업원들을 멋지게 따돌린다. 한편, 감옥을 탈출한 2인조 강도 마브와 해리는 뉴욕의 장난감 가게를 털어 한 몫 잡을 꿈에 부풀어 있는데...",https://images.justwatch.com/poster/246617178/s276/na-holro-jibe-2-nyuyogeul-hemaeda.webp,
해저 2만리,"20,000 Leagues Under the Sea",(1954),"[('Disney Plus', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]","[('Naver Store', ['₩1,000'])]","['78%', '7.2 (32k)']","['판타지 , SF , 드라마 , 가족']",['2시간 7분'],['Richard Fleischer'],"['Kirk Douglas', 'James Mason', 'Paul Lukas', 'Peter Lorre', 'Robert J. Wilke', 'Ted de Corsia', 'Carleton Young', 'J. M. Kerrigan', 'Percy Helton', 'Gloria Pall', 'Ron Nyman', 'Fred Graham', 'Harry Harvey', 'Charles Grodin', 'Harper Goff', 'Eddie Marr', 'John Daheim', 'Jack Stoney', 'Laurie Mitchell']","19세기 후반, 바다는 사람들에게 모험의 공간이자 공포의 대상이었다. 항구를 떠난 많은 배들이 실종되는 사태가 벌어지자, 선원들은 배를 가라앉게 하는 긴 뿔이 달린 거대한 일각고래에 관해 수군대며 항구로 돌아온다. 동물학자 아라낙스 교수와 조교 콘세일, 그리고 전문 고래잡이 네드는 그 미스터리를 풀기 위해 미국 원정단에 합류하는데... 플레이셔의 디즈니 시기를 대표하는 작품으로, 질 베르너의 원작 소설을 가장 완벽하게 영화화한 작품으로 손꼽힌다.",https://images.justwatch.com/poster/244267149/s276/haejeo-2manri.webp,"[('wavve', ['₩1,000', 'HD'])]"
2001 스페이스 오디세이,2001: A Space Odyssey,(1968),,"[('wavve', ['₩4,950', 'HD']), ('Naver Store', ['₩4,950', 'HD'])]","['89%', '8.3 (634k)']",['SF'],['2시간 29분'],['Stanley Kubrick'],"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Douglas Rain', 'Daniel Richter', 'Leonard Rossiter', 'Margaret Tyzack', 'Robert Beatty', 'Sean Sullivan', 'Frank Miller', 'Ed Bishop', 'Edwina Carroll', 'Heather Downham', 'Penny Brahms', ""Maggie d'Abo"", 'Chela Matthison', 'Judy Kiern', 'Alan Gifford', 'Ann Gillis', 'Vivian Kubrick', 'Kenneth Kendall', 'Kevin Scott', 'Martin Amor', 'Bill Weston', 'Glenn Beck', 'Mike Lovell', 'John Ashley', 'Jimmy Bell', 'David Charkham', 'Simon Davis', 'Jonathan Daw', 'Péter Delmár', 'Terry Duggan', 'David Fleetwood', 'Danny Grover', 'Brian Hawley', 'David Hines', 'Tony Jackson', 'John Jordan', 'Scott MacKee', 'Laurence Marchant', 'Darryl Paes', 'Joe Refalo', 'Andy Wallace', 'Bob Wilyman', 'Richard Woods', 'S. Newton Anderson', 'Sheraton Blount', 'Ann Bormann', 'Julie Croft', 'Penny Francis', 'Marcella Markham', 'Irena Marr', 'Krystyna Marr', 'Kim Neil', 'Jane Pearl', 'Penny Pearl', 'Burnell Tucker', 'John Swindells', 'John Clifford']","인류에게 문명의 지혜를 가르쳐 준 검은 돌기둥의 정체를 밝히기 위해서 디스커버리호의 선장 보우만(케어 둘리아)과 승무원 풀(게리 룩우드)는 목성을 향해서 날아간다. 하지만 평온하던 디스커버리호에 갑자기 재난이 찾아온다. 우주선 내부에서 일어난 재난은 컴퓨터 할(더글러스 레인)이 반란을 일으킨 것. 할은 풀을 우주선 밖으로 던져버리고, 보우만까지도 모선 밖으로 끌어내지만 그는 필사의 노력으로 할을 제압한다. 보우만은 마침내 목성 궤도에서 문제의 검은 돌기둥을 발견하지만, 그 순간 우주의 급류에 휘말리게 된다. 보우만은 지구로의 귀환을 위해 노력하고, 신비한 시간의 흐름을 경험하는데...",https://images.justwatch.com/poster/254421441/s276/2001-a-space-odyssey.webp,"[('Naver Store', ['₩1,300', 'HD']), ('wavve', ['₩1,320', 'HD'])]"
머펫의 크리스마스 캐롤,The Muppet Christmas Carol,(1992),"[('Disney Plus', ['정액제', '4K'])]","[('Naver Store', ['₩5,500', 'HD'])]","['82%', '7.7 (52k)']","['판타지 , 코미디 , 드라마 , 가족']",['1시간 25분'],['Brian Henson'],"['Michael Caine', 'Dave Goelz', 'Steve Whitmire', 'Jerry Nelson', 'Frank Oz', 'David Rudman', 'Don Austen', 'Jessica Fox', 'Robert Tygner', 'Steven Mackintosh', 'Meredith Braun', 'Robin Weaver', 'Raymond Coulthard', 'Russell Martin', 'Theo Sanders', 'Edward Sanders', 'Anthony Hamblin', 'Fergus Brazier', 'Ian Allen', 'David Alan Barclay', 'David Shaw-Parker', 'Robbie Barnett', 'James Barton', 'Joan Barton', 'Michael Bayliss', 'Simon Buckley', 'David Bulbeck', 'Marcus Clarke', 'Craig Crane', 'Sue Dacre', 'Taylor David', 'John Eccleston', 'Geoff Felix', 'Kate Frost', 'Ken Haines', 'Ronnie Le Drew', 'William Todd-Jones', 'Christopher Leith', 'Anthony Lymboura', 'Rebecca Nagan', 'Angie Passmore', 'Peter Passmore', 'Nigel Plaskitt', 'Judy Preece', 'Sally Preisig', 'Peter Robbins', 'Gillie Robic', 'Tim Rose', 'Kaefan Shaw', 'David Showler', 'John Thirtle', 'Ian Thom', 'Mark Alexander Todd', 'Ian Tregonning', 'Simon J. Williamson', 'Victoria Willing', 'Mike Quinn', 'Phill Woodfine', 'Karen Prell', 'Jack Angel', 'Caroline Dillon', 'Bill Farmer', 'Louise Gold', 'Patrick Pinney', 'Phil Proctor']","오직 돈만을 위해 독신으로 살아온 구두쇠 영감 스크루지. 그는 유일한 혈육인 조카 프레드나 자신의 충직한 직원인 밥 크래칫에게도 각박하게 대한다. 이미 주변 사람들에게 인심을 잃은지는 오래인 그에게 어느 크리스마스 이브 날 밤, 죽은 사업 동료 말리 형제가 나타난다. 말리 형제는 스크루지에게 그의 과거, 현재, 미래를 보여주며 그의 잘못된 생활에 대해 경고한다. 자신의 눈 앞에 보여지는 그 광경에 참회의 눈물을 흘린 스크루지는 비로소 자신의 삶을 반성하게 된다.",https://images.justwatch.com/poster/240241908/s276/the-muppet-christmas-carol.webp,
터미네이터,The Terminator,(1984),"[('wavve', ['정액제', 'HD'])]",,"['86%', '8.0 (826k)']","['액션 , 스릴러 , SF']",['1시간 48분'],['James Cameron'],"['Linda Hamilton', 'Michael Biehn', 'Arnold Schwarzenegger', 'Paul Winfield', 'Lance Henriksen', 'Rick Rossovich', 'Bess Motta', 'Earl Boen', 'Dick Miller', 'Shawn Schepps', 'Bruce M. Kerner', 'Franco Columbu', 'Bill Paxton', 'Brad Rearden', 'Brian Thompson', 'William Wisher Jr.', 'Ken Fritz', 'Tom Oberhaus', 'Ed Dogans', 'Joe Farago', 'Hettie Lynne Hurtes', 'Tony Mirelez', 'Philip Gordon', 'Anthony Trujillo', 'Stan Yale', 'Al Kahn', 'Leslie Morris', 'Hugh Farrington', 'Harriet Medin', 'Loree Frazier', 'James Ralston', 'Norman Friedman', 'Barbara Powers', 'Wayne Stone', 'David Michels', 'John E. Bristol', 'Webster Williams', 'Patrick Pinney', 'Bill W. Richmond', ""Chino 'Fats' Williams"", 'Greg Robbins', 'Marianne Muellerleile', 'John Durban', 'Marian Green', 'J. Randolph Harrison', 'David Kristin', 'Darrell Mapson', 'Bob Ritchie', 'John Stuart West']","1997년, 인간이 만든 인공지능 컴퓨터 전략 방어 네트워크가 스스로의 지능을 갖추고는 인류를 핵전쟁의 참화을 일으켜 30억이라는 인류를 잿더미 속에 묻어버린다. 그리고 남은 인간들은 기계의 지배를 받아 시체를 처리하는 일 등에 동원된다. 이때 비상한 지휘력과 작전으로 인간들을 이끌던 사령관 존 코너는 반기계 연합을 구성, 기계와의 전쟁을 시작하면서 상황은 반전된다. 이에 기계는 존 코너의 탄생 자체를 막기 위해 2029년의 어느 날 타임머신에 터미네이터를 태워서 1984년의 L.A로 보내게 된다.",https://images.justwatch.com/poster/176681393/s276/teomineiteo.webp,
시계태엽 오렌지,A Clockwork Orange,(1971),,"[('wavve', ['₩4,950', 'HD'])]","['90%', '8.3 (790k)']","['드라마 , 범죄 , SF']",['2시간 17분'],['Stanley Kubrick'],"['Malcolm McDowell', 'Patrick Magee', 'Adrienne Corri', 'Michael Bates', 'Warren Clarke', 'James Marcus', 'Michael Tarn', 'Carl Duering', 'Paul Farrell', 'Miriam Karlin', 'Sheila Raynor', 'Aubrey Morris', 'Godfrey Quigley', 'Clive Francis', 'Richard Connaught', 'Pauline Taylor', 'Philip Stone', 'David Prowse', 'Michael Gover', 'Anthony Sharp', 'Margaret Tyzack', 'Gillian Hills', 'Carol Drinkwater', 'Virginia Wetherell', 'Katya Wyeth', 'George Coulouris', 'Pat Roach', 'Steven Berkoff', 'Lindsay Campbell', 'John J. Carney', 'Vivienne Chandler', 'Prudence Drage', 'Lee Fox', 'Cheryl Grunwald', 'Craig Hunter', 'Barrie Cookson', 'Jan Adair', 'Shirley Jaffe']","10대 소년 알렉스는 친구들과 극악한 비행을 저지르고 다닌다. 어느 날 차를 훔쳐 드라이브를 즐기던 이들은 작가 알렉산더의 집을 습격해 그를 폭행하고 그의 아내를 강간한다. 이튿날 알렉스는 불평을 늘어놓는 친구들을 힘으로 제압하고 자신이 무리의 리더임을 확인시킨다. 그날 밤 알렉스는 한 저택에 침입해 집주인을 죽이고 도망치던 중 친구들의 배신으로 문 앞에 쓰러진다. 검거된 알렉스는 살인죄로 14년형을 언도받는다. 2년 뒤, 알렉스는 좀 더 빨리 감옥 밖으로 나오고 싶은 마음에 재소자에게 약물과 충격요법으로 범죄에 대한 혐오를 불러일으키는 교화 방법인 루도비코 갱생 프로그램에 자원하는데...",https://images.justwatch.com/poster/101116679/s276/a-clockwork-orange.webp,"[('wavve', ['₩1,320', 'HD'])]"
플라이,The Fly,(1986),"[('Disney Plus', ['정액제', 'HD'])]","[('wavve', ['₩5,500', 'HD'])]","['82%', '7.6 (170k)']","['공포 , 드라마 , SF']",['1시간 36분'],['David Cronenberg'],"['Jeff Goldblum', 'Geena Davis', 'John Getz', 'Joy Boushel', 'Leslie Carlson', 'George Chuvalo', 'Michael Copeman', 'David Cronenberg', 'Carol Lazare', 'Shawn Hewitt', 'Typhoon']","세스 브런들(제프 골드블럼)은 물체를 옮겨주는, 첨단 과학 기술의 전송기를 발명해낸다. 몇 번의 시험에 성공한 후, 그는 자신을 대상으로 테스트를 시도하는데 그 과정에 파리가 들어와 그와 합쳐지게 되는데...",https://images.justwatch.com/poster/211695098/s276/peulrai.webp,
웨스트 사이드 스토리,West Side Story,(1961),"[('Watcha', ['정액제', 'HD'])]","[('Naver Store', ['₩1,000'])]","['81%', '7.5 (104k)']","['드라마 , 로맨스 , 범죄']",['2시간 31분'],"['Jerome Robbins , Robert Wise']","['Natalie Wood', 'Richard Beymer', 'Russ Tamblyn', 'Rita Moreno', 'George Chakiris', 'Simon Oakland', 'Ned Glass', 'William Bramley', 'Tucker Smith', 'Tony Mordente', 'David Winters', 'Eliot Feld', 'Bert Michaels', 'David Bean', 'Robert Banas', 'Scooter Teague', 'Harvey Evans', 'Tommy Abbott', 'Susan Oakes', 'Gina Trikonis', ""Carole D'Andrea"", 'Jose De Vega', 'Jay Norman', 'Gus Trikonis', 'Eddie Verso', 'Jaime Rogers', 'Larry Roquemore', 'Robert E. Thompson', 'Nick Navarro', 'Rudy Del Campo', 'Andre Tayir', 'Yvonne Othon', 'Suzie Kaye', 'Joanne Miya', 'John Astin', 'Penny Santon', 'Marni Nixon']","1940년대 푸에르토 리코를 보호령으로 한 미국에 자유로 들어오는 푸에르토 리코의 빈민들이 뉴욕의 백인 사회에 제2의 할렘을 만들어 말썽의 근원이 되었다. 이 때에 백인지구와 푸에르토 리코 사람들의 지구가 인접한 뉴욕의 웨스트사이드에서 백인의 젊은이와 푸에트로 리코의 젊은이들이 텃세 싸움을 되풀이 하고 있었다. 그들은 이탈리아계의 제트단과 푸에르토리코계의 샤크단으로, 서로 앙숙관계에 있는 불량그룹이다. 샤크단의 리더 베르나르드에게는 아니타라는 애인이 있다. 주도권을 다투는 그들은 리브가 거느리는 제트단에 도전한다. 리브는 OB의 드니에게 같이 합세할 것을 요청한다. 제트단의 댄스 파티가 한창일 즈음, 샤크단의 도전장이 날아들어 체육관은 삽시간에 댄스 시합장으로 변해버린다. 두 개의 그룹이 참가한 댄스 파티는 살기가 등등했다. 그 가운데 한쌍의 남녀가 서로를 뚫어지게 바라보고 있다. 드니와 베르나르드의 동생 마리아, 두 사람은 서로 한눈에 반한다. 마리아는 그날밤, 자신을 부르는 소리에 비상계단으로 나간다. 그곳에는 드니가 와 있었다. 어둠속에서 사랑의 말을 나누고",https://images.justwatch.com/poster/176950039/s276/weseuteu-saideu-seutori.webp,"[('wavve', ['₩1,000', 'HD'])]"
대역전,Trading Places,(1983),,"[('wavve', ['₩5,500', 'HD'])]","['81%', '7.5 (144k)']",['코미디'],['1시간 56분'],['John Landis'],"['Dan Aykroyd', 'Eddie Murphy', 'Jamie Lee Curtis', 'Ralph Bellamy', 'Don Ameche', 'Denholm Elliott', 'Kristin Holby', 'Paul Gleason', 'Alfred Drake', 'Bo Diddley', 'Frank Oz', 'Jim Belushi', 'Al Franken', 'Tom Davis', 'Maurice Woods', 'Richard D. Fisher, Jr.', 'Jim Gallagher', 'Anthony DiSabatino', 'Bonnie Behrend', 'Sunnie Merrill', 'James Newell', 'Mary St. John', 'Bonnie Tremena', 'David Schwartz', 'Tom Degidon', 'William Magerman', 'Alan Dellay', 'Florence Anglin', ""Ray D'Amore"", 'Bobra Suiter', 'Herb Peterson', 'Sue Dugan', 'Walt Gorney', 'B. Constance Barry', 'P. Jay Sidney', 'Avon Long', 'Tom Mardirosian', 'Charles Brown', 'Robert Curtis Brown', 'Nicholas Guest', 'John Bedford Lloyd', 'Tony Sherer', 'Robert Earl Jones', 'Peter Hock', 'Clint Smith', 'Ron Taylor', 'James D. Turner', 'Giancarlo Esposito', 'Steve Hofvendahl', 'James Eckhouse', 'Gwyllum Evans', 'Eddie Jones', 'John McCurry', 'Michelle Mais', 'Barra Khan', 'Bill Cobbs', 'Joshua Daniel', 'Jacques Sandulescu', 'Margaret H. Flynn', 'Tracey K. Shaffer', 'Susan Fallender', 'Lucianne Buchanan', 'Paul Garcia', 'Jed Gillin', 'Philip Bosco', 'Bill Boggs', 'Deborah Reagan', 'Don McLeod', 'Stephen Stucker', 'Richard Hunt', 'Paul Austin', 'John Randolph Jones', 'Jack Davidson', 'Bernie McInerney', 'Maurice Copeland', 'Ralph Clanton', 'Bryan Clark', 'Gary Klar', 'Afemo Omilami', 'Shelly Chee Chee Hall', 'Donna Palmer', 'Barry Dennen', 'Murray Bandel', 'Peter Fey', 'George Folsey Jr.', 'John Landis', 'Shirley Levine', 'Charles Pendelton', 'Yvonna Russell', 'Arleen Sorkin', 'Ronald Sylvers', 'Marlene Willoughby', 'Kelly Curtis']","증권 중개 회사를 경영하는 대재벌 듀크 형제 랜돌프(랄프 벨러미 분)와 모티머(돈 에머치 분)는 내기를 건다. 그것은 밑바닥 인생을 사는 흑인 거지 빌리(에디 머피 분)와 앞날이 창창한 듀크 회사의 전무인 루이스(댄 애크로이드 분)의 처지를 서로 바꾸는 것이었다. 이들은 한낱 재미에 불과한 장난이지만 본인들은 서로 인생이 바뀌는 모험 속에 빠지고 만다. 졸지에 마약 거래범으로 체포되어 거지가 된 루이스는 결국 자살 시도까지 하고, 또 거지에서 증권 중개인으로 성공한 빌리는 상류 사회에 빠져든다. 결국 두 사람은 자신들의 인생이 듀크 형제에 의해 놀아난 것을 알고 복수를 계획한다. 루이스의 집사인 콜먼(덴홀 엘리오트 분)과 거지가 된 빌리를 도와준 창녀 오필리아(제이리 리 커티스 분)의 힘을 빌린 두 사람은 듀크 형제가 돈을 벌 계략을 알아내어, 이것을 이용, 마침내 듀크 형제의 전재산을 날리게 하고 자신들은 일약 거액의 돈을 버는데 성공한다.",https://images.justwatch.com/poster/15605912/s276/trading-places.webp,"[('wavve', ['₩1,500', 'HD'])]"
